normalized_key,original_entries,ranks,key_kinds,affected_records_in_our_data,data_venue_examples,current_match_target,priority_flag,rank_conflict
vascular access,[SJR:norm_title] Journal of Vascular Access | [SJR:norm_title] Vascular Access,SJR Q2 | SJR Q4,norm_title,2,Journal of Vascular Access (x2),[SJR Q4] Vascular Access,HIGH,
acm theory computing,[CORE:norm_title] ACM Symposium on Theory of Computing | [SJR:norm_title] Proceedings of the Annual ACM Symposium on Theory of Computing,CORE A* | SJR -,norm_title,1,Proceedings of the 56th Annual ACM Symposium on Theory of Computing (x1),[CORE A*] ACM Symposium on Theory of Computing,HIGH,Y
ai,[CORE:acronym] Australasian Joint Conference on Artificial Intelligence | [SJR:norm_title] AI (Switzerland),CORE Australasian B | SJR Q1,acronym | norm_title,1,AI (Switzerland) (x1),[CORE Australasian B] Australasian Joint Conference on Artificial Intelligence,HIGH,Y
automation robotics construction,[CORE:norm_title] International Symposium on Automation and Robotics in Construction | [SJR:norm_title] Proceedings of the International Symposium on Automation and Robotics in Construction,CORE C | SJR -,norm_title,1,Proceedings of the International Symposium on Automation and Robotics in Construction (x1),[CORE C] International Symposium on Automation and Robotics in Construction,HIGH,
behavioral medicine,[SJR:norm_title] International Journal of Behavioral Medicine | [SJR:norm_title] Journal of Behavioral Medicine | [SJR:norm_title] Behavioral Medicine,SJR Q2 | SJR Q1 | SJR Q2,norm_title,1,Journal of Behavioral Medicine (x1),[SJR Q2] Behavioral Medicine,HIGH,Y
biorheology,[SJR:norm_title] Biorheology | [SJR:norm_title] Journal of Biorheology,SJR Q3 | SJR Q4,norm_title,1,Biorheology (x1),[SJR Q4] Journal of Biorheology,HIGH,
child adolescent mental health,[SJR:norm_title] Child and Adolescent Mental Health | [SJR:norm_title] Journal of Child and Adolescent Mental Health,SJR Q1 | SJR Q2,norm_title,1,Child and Adolescent Mental Health (x1),[SJR Q2] Journal of Child and Adolescent Mental Health,HIGH,Y
chinese general practice,[SJR:norm_title] Chinese General Practice | [SJR:norm_title] Chinese Journal of General Practice,SJR Q3 | SJR Q3,norm_title,1,Chinese General Practice (x1),[SJR Q3] Chinese Journal of General Practice,HIGH,
clinical practice,[SJR:norm_title] International Journal of Clinical Practice | [SJR:norm_title] Journal of Clinical Practice,SJR Q2 | SJR Q4,norm_title,1,International Journal of Clinical Practice (x1),[SJR Q4] Journal of Clinical Practice,HIGH,
cognitive psychology,[SJR:norm_title] Cognitive Psychology | [SJR:norm_title] Journal of Cognitive Psychology,SJR Q1 | SJR Q3,norm_title,1,Journal of Cognitive Psychology (x1),[SJR Q3] Journal of Cognitive Psychology,HIGH,Y
computing informatics,[CORE:norm_title] International Conference on Computing and Informatics | [SJR:norm_title] Computing and Informatics,CORE C | SJR Q3,norm_title,1,Computing and Informatics (x1),[CORE C] International Conference on Computing and Informatics,HIGH,
computing science engineering,[SJR:norm_title] Computing in Science and Engineering | [SJR:norm_title] Journal of Computing Science and Engineering,SJR Q2 | SJR Q4,norm_title,1,Computing in Science & Engineering (x1),[SJR Q4] Journal of Computing Science and Engineering,HIGH,
critical care,[SJR:norm_title] Critical Care | [SJR:norm_title] Journal of Critical Care,SJR Q1 | SJR Q1,norm_title,1,Critical Care (x1),[SJR Q1] Journal of Critical Care,HIGH,
design society,[SJR:norm_title] Proceedings of the Design Society | [SJR:norm_title] International Journal of Design in Society,SJR - | SJR Q2,norm_title,1,Proceedings of the Design Society (x1),[SJR Q2] International Journal of Design in Society,HIGH,
